Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
Nicaragua,2000,4.101590155,1.294221354,0.006560798897,0.94621819989886,0.005069302,0.2439515623543518,0.13037,1.555883066,6,0.0006103763987792473,0.0,925,0
Nicaragua,1996,6.344268336,1.1516618539999999,0.005460694512,0.921823402074593,0.004741578,0.25149674300765423,0.13037,1.903298999,26,0.002719949785542421,0.0,841,0
Nicaragua,2008,3.4355729960000003,1.530549832,0.008674287094,0.7795133490929995,0.005667432,0.20443602826838608,0.13037,1.3746978980000002,6,0.0005965400676078744,0.0,963,0
Nicaragua,2016,4.562927609,1.895200159,0.011947292526,0.8872582432913279,0.006303974,0.17816327601109772,0.13037,1.288955673,5,0.00048202063048298477,0.0,973,0
Nicaragua,2004,5.312170527,1.3696722380000002,0.007348202527,0.8407656447090619,0.005364935,0.21696944887555486,0.13037,1.3665716630000002,5,0.0005149330587023687,0.0,927,0
Nicaragua,1988,-12.44982204,1.198000031,0.004786648659,0.7867223542269046,0.003995533,0.34390870033194165,0.13037,2.172375986,0,0.0,0.0,742,0
Algeria,1992,1.800002303,3.423095537,0.092520542117,22.912259343845626,0.027028326,1.8658824458532663,2.38174,2.350327326,35,0.0040032025620496394,0.0,826,2
Algeria,2012,3.4,4.5866551850000015,0.171,13.786011293562849,0.037383887,1.1996866569691915,2.38174,1.951415209,38,0.003889855665881871,2.0,962,1
Algeria,2000,3.8,3.556481410000001,0.11,15.864531686296345,0.031042235,1.4938549187286418,2.38174,1.358407806,47,0.004781281790437436,3.0,925,5
Algeria,1996,4.09999847,3.314157956,0.09699348897,16.373534132870375,0.029266405,1.5523113902255594,2.38174,1.7531757959999998,45,0.0047076053980541896,2.0,841,3
Algeria,2008,2.4,4.408377572,0.153,13.749319237280588,0.034730608,1.2528050727148088,2.38174,1.636192663,56,0.005567707297673493,0.0,963,2
Algeria,2016,3.2,4.828626059,0.196,14.555818007021172,0.040551404,1.1460661137703825,2.381741,2.0513545840000003,64,0.0061698640701822035,1.0,973,2
Algeria,2004,4.3,4.1068619680000005,0.134,15.33199390967389,0.032692163,1.322141011710264,2.38174,1.317846191,61,0.006282183316168898,5.0,927,0
Algeria,1988,-1.00000549,3.57609948,0.087412269635,14.366875752675574,0.024443467,2.1039298055044733,2.38174,2.775848954,42,0.005346232179226069,2.0,742,0
Bahrain,1992,6.689998367,20.17852461,0.010555103723,2.6139197671014283,0.000523086,0.03611089288591538,0.00071,2.580585977,10,0.0011437721605856116,0.0,826,0
Bahrain,2012,3.72810843,20.924710430000008,0.027200930851,2.192937660276656,0.001299943,0.041716482609753816,0.00077,1.690591501,12,0.0012283754734363805,0.0,962,1
Bahrain,2000,5.300070056,22.95523726,0.015256303191,2.200310048994214,0.000664611,0.03198327734427503,0.00071,4.31530764,4,0.0004069175991861648,0.0,925,0
Bahrain,1996,4.110006115,22.22078269,0.012858411436,2.170636820858726,0.000578666,0.030692865178906105,0.00071,2.620858138,5,0.0005230672664504655,0.0,841,0
Bahrain,2008,6.245010775,21.56266247,0.02403462766,2.1598677676242755,0.001114641,0.040207412984417296,0.00076,7.324342452000001,14,0.0013919268244183733,0.0,963,0
Bahrain,2016,3.558128119,22.2729669,0.031756595745,2.3583838172794027,0.001425791,0.0402957873029202,0.000779,3.856582461,33,0.003181336161187699,1.0,973,2
